1,1,"CpE","Taking various software and hardware classes", "www.egr.msu.edu", 2018-08-28
2,2,"Study Abroad","Taking Differential Equations and experienceing new cultures","https://www.ceastudyabroad.com/explore/discover-the-city/paris","2019-06-30","2019-07-30"
3,3,"IT","Design and create web applications using Microsoft InfoPath","https://frib.msu.edu/","2019-08-28","2021-05-20"
