1,1,"Student","Complete degree in CpE, take classes, complete projects, etc.","2018-08-28"
2,2,"Student","Study Abroad","2019-06-30","2019-07-30"
3,3,"Student IT Assistant","Sharepoint developer, support FRIB Sharepoint portal","2019-08-28","2021-05-20"
