1,"Academia","Michigan State University","Computer Science",NULL,"East Lansing","Michigan",NULL
2,"Academia","University New Haven","Mathematics",NULL,"West Haven","Connecticut",NULL
3,"Industry","Facility for Rare Isotope Beams","IT",NULL,"East Lansing","Michigan",NULL
